Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2024-08-01T00:00:00,162,188.2,1.162,36.4,1,0,0,0,123.6,19,0,27.2,18.5,1215,3.2,45.2,48.4,3.2,83.7,80.5,72.7,-7.8,45,0,45,47,65.6,10.1,14.4,9.8
2024-08-01T00:10:00,146.8,181.8,1.238,34.6,1,0,0,0,117.3,19.1,0,27.2,18.2,1215,2.9,44.9,47.8,3.1,83.4,80.3,72.7,-7.6,45,0,45,47,64.6,10.5,14.9,10
2024-08-01T00:20:00,181.1,174.8,0.965,32.4,1,0,0,0,110.2,19,0,27.1,18.4,1207.3,3.6,44.8,48.4,3.2,83.5,80.3,72.7,-7.6,45,0,45,47,63,10.9,15.5,10.5
2024-08-01T00:30:00,156.3,173.9,1.113,32.2,1,0,0,0,109.3,19,0,27.1,18.4,1209.9,3.1,45.2,48.3,3,83.1,80.1,72.7,-7.4,45,0,45,47,62.9,10.9,15.6,10.6
2024-08-01T00:40:00,165.3,185.1,1.12,35.5,1,0,0,0,120.6,19,0,27,18.5,1202.1,3.3,45,48.3,3.1,83,79.9,72.7,-7.2,45,0,45,47,65.2,10.2,14.6,10
2024-08-01T00:50:00,149.4,176.2,1.179,33,1,0,0,0,111.9,18.9,0,27.1,18.3,1195.5,3,45.2,48.2,3,82.7,79.7,72.7,-7,45,0,45,47,63.5,10.7,15.4,10.4
2024-08-01T01:00:00,141,179.5,1.273,33.8,1,0,0,0,114.7,18.9,0,27.3,18.6,1208.6,2.8,45.2,48,2.9,82.4,79.5,72.7,-6.8,45,0,45,47,63.9,10.5,15.2,10.4
2024-08-01T01:10:00,135.7,180,1.327,33.9,1,0,0,0,115.3,18.9,0,27.3,18.6,1206,2.7,45,47.7,3,82.4,79.4,72.7,-6.7,45,0,45,47,64,10.5,15.2,10.3
2024-08-01T01:20:00,146.5,187.8,1.282,36.3,1,0,0,0,123.2,19,0,27.2,18.4,1212.5,2.9,45.3,48.2,2.8,82.2,79.4,72.7,-6.7,45,0,45,47,65.6,10.1,14.5,9.8
2024-08-01T01:30:00,146.7,179.4,1.224,33.8,1,0,0,0,114.7,19.1,0,27.2,18.5,1213.8,2.9,44.8,47.7,3,82.3,79.3,72.7,-6.6,45,0,45,47,63.9,10.6,15.2,10.3
2024-08-01T01:40:00,151.1,186.6,1.235,36,1,0,0,0,122.2,19,0,27.1,18.3,1208.6,3,45.2,48.2,2.9,82.3,79.4,72.7,-6.7,45,0,45,47,65.5,10.2,14.5,9.8
2024-08-01T01:50:00,151.1,184.9,1.224,35.1,1,0,0,0,120.3,19,0,27.3,18.3,1208.6,3,45.1,48.1,2.9,82.2,79.3,72.7,-6.6,45,0,45,47,65.1,10.3,14.8,9.9
