Time,RT,kW_Tot,kW_RT,CH Load,CH1,CH2,CH3,CH4,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT
2024-03-01T00:00:00,199.3,217.6,1.092,42.2,1,0,0,0,143.2,20.6,0,33,20.8,1292.5,3.7,46.3,50,4.2,84,79.8,72.7,-7.1,46,0,48,50,65.8,9.4,15.2,9.6
2024-03-01T00:10:00,193.5,200,1.034,37.2,1,0,0,0,126.3,20.5,0,32.8,20.5,1290.1,3.6,46.4,50,4.1,83.6,79.5,72.7,-6.8,46,0,48,50,63.1,10.2,16.4,10.3
2024-03-01T00:20:00,204.7,201.5,0.984,37.3,1,0,0,0,126.8,20.7,0,33.3,20.7,1292.5,3.8,46.4,50.2,4,83.2,79.2,72.7,-6.5,46,0,48,50,62.9,10.3,16.5,10.3
2024-03-01T00:30:00,215.2,208.5,0.969,39.5,1,0,0,0,134.2,20.6,0,32.9,20.8,1291.3,4,46.2,50.2,4.2,83.4,79.2,72.7,-6.5,46,0,48,50,64.4,9.9,15.8,10
2024-03-01T00:40:00,192.8,215.7,1.119,41.7,1,0,0,0,141.5,20.6,0,33,20.6,1285.2,3.6,46.3,49.9,4.1,83.1,79,72.7,-6.3,46,0,48,50,65.6,9.6,15.3,9.5
2024-03-01T00:50:00,199.3,199.6,1.002,37,1,0,0,0,125.6,20.6,0,32.8,20.6,1292.5,3.7,46.4,50.1,4,83,79,72.7,-6.3,46,0,48,50,62.9,10.3,16.4,10.3
2024-03-01T01:00:00,205.5,197.8,0.963,36.8,1,0,0,0,124.8,19.4,0,32.9,20.6,1264.3,3.9,45.9,49.8,4,82.9,78.9,72.7,-6.2,45,0,48,50,63.1,9.8,16.6,10.4
2024-03-01T01:10:00,210.1,201.6,0.959,37.7,1,0,0,0,128.9,19.4,0,32.7,20.7,1260.6,4,46.3,50.3,4.2,82.9,78.7,72.7,-6,45,0,48,50,63.9,9.6,16.2,10.3
2024-03-01T01:20:00,194.5,204.1,1.049,38.6,1,0,0,0,131.2,19.1,0,33,20.7,1261.9,3.7,46,49.7,4,82.4,78.4,72.7,-5.7,45,0,48,50,64.3,9.4,16.2,10.2
2024-03-01T01:30:00,193.4,197.6,1.022,36.8,1,0,0,0,124.8,19.3,0,33,20.5,1254.4,3.7,46.1,49.8,4,82.7,78.7,72.7,-6,45,0,48,50,63.2,9.7,16.7,10.4
2024-03-01T01:40:00,194.3,205.5,1.058,39.2,1,0,0,0,133.1,19.2,0,32.9,20.3,1260.6,3.7,46.1,49.8,3.9,82.6,78.7,72.7,-6,45,0,48,50,64.8,9.3,16,9.9
2024-03-01T01:50:00,196.4,207.9,1.058,39.8,1,0,0,0,135,19.2,0,33.1,20.6,1274.2,3.7,46.2,49.9,3.9,82.5,78.6,72.7,-5.9,45,0,48,50,64.9,9.2,15.9,9.9
2024-03-01T02:00:00,193,203.1,1.052,38.4,1,0,0,0,130.2,19.2,0,32.8,20.9,1251.9,3.7,46.1,49.8,3.9,82.5,78.6,72.7,-5.9,45,0,48,50,64.1,9.4,16.2,10.3
2024-03-01T02:10:00,177.9,203,1.141,38.4,1,0,0,0,130.4,19.1,0,33,20.4,1255.6,3.4,46.2,49.6,3.6,82,78.4,72.7,-5.7,45,0,48,50,64.2,9.4,16.3,10.1
2024-03-01T02:20:00,182.2,205.2,1.126,39,1,0,0,0,132.4,19.2,0,33,20.5,1249.4,3.5,46.1,49.6,3.7,82.1,78.4,72.7,-5.7,45,0,48,50,64.6,9.4,16.1,10
2024-03-01T02:30:00,192.4,203.3,1.056,38.6,1,0,0,0,131.2,19.1,0,32.5,20.4,1248.1,3.7,45.9,49.6,3.8,82.3,78.5,72.7,-5.8,45,0,48,50,64.5,9.4,16,10
2024-03-01T02:40:00,153.1,170.4,1.113,28.8,1,0,0,0,97.8,19.3,0,32.7,20.6,1266.8,2.9,46.8,49.7,3.4,81.9,78.5,72.7,-5.8,45,0,48,50,57.4,11.3,19.2,12.1
2024-03-01T02:50:00,209.5,204.9,0.978,38.8,1,0,0,0,131.8,19.2,0,33.3,20.6,1256.9,4,46,50,3.9,82.4,78.5,72.7,-5.8,45,0,48,50,64.3,9.4,16.2,10.1
2024-03-01T03:00:00,197.2,214.6,1.088,41.8,1,0,0,0,142.1,19.1,0,32.9,20.5,1245.6,3.8,45.7,49.5,3.8,82,78.2,72.7,-5.5,45,0,48,50,66.2,8.9,15.3,9.5
2024-03-01T03:10:00,204.2,189.6,0.928,34.3,1,0,0,0,116.6,19.2,0,32.9,20.9,1256.9,3.9,45.8,49.7,3.7,82.3,78.6,72.7,-5.9,45,0,48,50,61.5,10.1,17.4,11
2024-03-01T03:20:00,176.1,173.7,0.986,29.8,1,0,0,0,101.2,19.2,0,32.6,20.6,1243.1,3.4,46.3,49.7,3.7,81.9,78.2,72.7,-5.5,45,0,48,50,58.3,11.1,18.8,11.9
2024-03-01T03:30:00,166.8,233.9,1.403,47.4,1,0,0,0,161,19.2,0,32.9,20.8,1250.6,3.2,46.4,49.6,3.5,81.7,78.2,72.7,-5.5,45,0,48,50,68.8,8.2,14.1,8.9
2024-03-01T03:40:00,181.8,229,1.26,46,1,0,0,0,156.2,19.2,0,32.9,20.8,1246.9,3.5,46.3,49.8,3.5,81.7,78.2,72.7,-5.5,45,0,48,50,68.2,8.4,14.3,9.1
2024-03-01T03:50:00,195.8,165.4,0.844,27.2,1,0,0,0,92.4,19.1,0,33.2,20.7,1236.8,3.8,45.8,49.6,3.7,82.1,78.4,72.7,-5.7,45,0,48,50,55.9,11.6,20.1,12.5
2024-03-01T04:00:00,170.9,158.7,0.928,25.2,1,0,0,0,85.5,19.3,0,33.2,20.8,1243.1,3.3,45.9,49.2,3.6,81.5,77.9,72.7,-5.2,45,0,48,50,53.9,12.1,20.9,13.1
2024-03-01T04:10:00,167.1,229.2,1.372,46.1,1,0,0,0,156.5,19.2,0,33,20.5,1253.1,3.2,46.4,49.6,3.5,81.7,78.2,72.7,-5.5,45,0,48,50,68.3,8.4,14.4,9
2024-03-01T04:20:00,197.6,232.1,1.175,46.9,1,0,0,0,159.1,19.2,0,33.2,20.7,1248.1,3.8,45.6,49.4,3.8,81.8,78,72.7,-5.3,45,0,48,50,68.6,8.3,14.3,8.9
2024-03-01T04:30:00,182.2,180.5,0.99,31.8,1,0,0,0,107.9,19.1,0,32.8,20.7,1249.4,3.5,45.7,49.2,3.6,81.6,78,72.7,-5.3,45,0,48,50,59.8,10.6,18.2,11.5
2024-03-01T04:40:00,147.9,166,1.122,27.2,1,0,0,0,93.5,19.1,0,32.8,20.6,1268.1,2.8,46.5,49.3,3.2,81.1,77.9,72.7,-5.2,45,0,48,50,56.3,11.5,19.8,12.4
2024-03-01T04:50:00,191.4,230.4,1.203,46.2,1,0,0,0,157.6,19.1,0,33,20.7,1241.8,3.7,46.2,49.9,4,82,78,72.7,-5.3,45,0,48,50,68.4,8.3,14.3,9
2024-03-01T05:00:00,212.6,242,1.138,49.9,1,0,0,0,169.3,19.3,0,32.8,20.6,1275.5,4,46,50,3.9,81.8,77.9,72.7,-5.2,45,0,48,50,70,8,13.6,8.5
2024-03-01T05:10:00,235.7,181,0.768,31.9,1,0,0,0,108.3,19.1,0,32.9,20.7,1256.9,4.5,46,50.5,4.2,82.5,78.3,72.7,-5.6,45,0,48,50,59.8,10.5,18.2,11.4
